,Sentence,Sentiment
3707,Finnish publishing and printing group Ilkka-Yhtym+ñ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,neutral
5505,"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral
4287,"Finnish newspaper publisher Sanoma , of media group SanomaWSOY , is merging its free sheets Uutislehti 100 and Metro as of mid-September 2008 to form a new free sheet to be named Metro .",neutral
4195,$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,positive
4352,"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",negative
6655,"Town Has Uncanny Knack for Kindness in a Pinch, From Hurricane Weddings to Rescuing Lost Planes",positive
3183,Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,negative
3003,`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative
1117,"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",neutral
864,Salonen added that data shows producers ' pulp inventories in North America are declining . ',neutral
6555,He Quit His Job to Offer Scottish Highland Trips in New York School Bus – A ‘Hostel on Wheels’,positive
3996,"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .",neutral
1149,$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative
4492,The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .,positive
5184,Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,neutral
752,"$WFM Bought a little yesterday, hoping for an earnings pop.",positive
3413,"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",neutral
5623,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative
2918,The transaction is expected to be finalized by Dec 2009 .,neutral
445,`` Management decided at the end of 2005 to increase cathode copper capacity .,neutral
3315,"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive
1749,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,positive
5500,"In Finland , 71 % of paper and paperboard is reclaimed .",neutral
1761,"The interim report for the first quarter is published on May 8 , 2009 .",neutral
6194,"Water Cremation May be the Ultimate Low-Carbon End-of-Life Option, But What is it?",positive
4275,The ` buy ' recommendation was reiterated .,positive
5152,Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive
587,"The Finland-based company says it will move into an existing 260,000-square-foot facility in September .",neutral
5637,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive
3068,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative
5427,$UVXY Put the chum out there at key support then next level down - careful,negative
831,The measures result from weak demand in the shipbuilding industry .,negative
5575,The original contract was signed last summer .,neutral
489,The bridge is part of the highway 14 development project .,neutral
2499,"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",positive
691,"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive
6427,Top Cities For Digital Nomads Looking to Work While Traveling the World,positive
5490,"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets .",neutral
5461,"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",neutral
1026,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,neutral
1138,Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,neutral
5157,"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral
3464,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",positive
64,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive
2122,The transaction will take place without payment of merger consideration .,neutral
2495,Also construction expenses have gone up in Russia .,neutral
3054,"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",positive
5180,"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",neutral
6933,Wireless Companies Finally Agree to Disable Stolen Smartphones,positive
5557,"The Nokian tyre proves its high safety excellently in the important driving qualities stability with mark 1.4 , handling 1.5 and braking on wet road with 1.9 .",positive
3507,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",neutral
732,Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,neutral
2638,UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .,neutral
2044,Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,positive
6972,"Veterans to the Rescue in Oklahoma, Doing the Heavy Lifting in Tornado Ravaged Towns",positive
6153,Kids Against Hunger Stems Starvation for 20 Million,positive
2946,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral
6793,Debt Collector Uses Kindness and Tallies Twice the Success!,positive
3946,"The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time .",neutral
4614,"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",neutral
2231,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral
105,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral
3777,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,negative
1521,The pipeline is strong .,positive
3184,$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,positive
669,$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,positive
5244,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral
7029,$3 Million Fund to Aid Renewables in Canada,positive
6619,Chicago Will Pay Cab Companies to Go Green,positive
5756,"SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday .",positive
2679,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,positive
1479,"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",neutral
1277,"As a result , the company has decided it will implement fixed-term temporary lay-offs .",neutral
4297,"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",positive
3654,A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,neutral
3190,"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 10,500 people .",neutral
793,The contract will take effect in 2009 for a five or ten year period .,neutral
6678,"Ex-Cop and Ex-Con Stop Battling, Team Up for Second Chances (WATCH)",positive
3257,Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,neutral
6065,"Women of Courage Honored as Human Rights Champions by Mrs. Obama, Sec. Clinton",positive
2059,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",neutral
3465,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",neutral
550,$AAPL Dips being bought up real quick. Higher lows fo sho,positive
2487,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral
7023,Community Rewards Bus Driver Who Stopped To Give Homeless Man Money,positive
1321,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative
1544,"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems .",neutral
1189,Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral
7033,More Good News On The MBA Job Market,positive
6709,"22 Year-old Plays His Way into Golf Stardom: Rory’s a Celtic Tiger, With Class",positive
218,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,neutral
3182,The sale of the food potato business is part of Raisio 's plan to streamline and clarify its business operations .,neutral
4929,The agreement expands Tekla Structures ' scope of use to bridge design .,positive
4977,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",neutral
6397,U.S. Growth Prospects Look Firmer as Year End Nears,positive
2338,"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",neutral
1493,"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",positive
1077,Feed companies Suomen Rehu and Raisio do no import GMO feed .,neutral
4372,"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .",positive
151,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral
848,"The 5,000 megawatt wind farm being planned in Raahe would be built offshore in front of Ruukki 's Raahe Works .",neutral
7080,Join Earth Hour Tonight! Turn Off Your Lights for One Hour (Video),positive
1024,$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,positive
801,"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",neutral
1836,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral
2793,"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral
4470,"Also Finnish Industry Investment , a government-owned investment company , will participate in the project .",neutral
4429,"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",neutral
148,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive
2202,I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,positive
1424,"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",neutral
3332,"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",neutral
3008,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,neutral
6044,"Auto Body Shop Stands up for Bullied Gay Teen, Restores Vandalized Car",positive
6773,Mangrove Trees Can Save Americans Tens of Billions in Flood Damages– So New Alliance Gets Planting,positive
2378,"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .",positive
3952,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",neutral
3124,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .",neutral
6042,"Instead of Burning Coal, New Fuel Emits Zero Harmful Emissions – and It’s Made From Sewage",positive
2017,"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",neutral
4475,A quick `` one-stop-shop '' to understand the company .,neutral
4438,The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,neutral
3098,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , from where they will be delivered to VR for welding and assembly .",neutral
1281,"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive
4133,"In the end of 2006 , the number of outlets will rise to 60-70 .",positive
4594,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",neutral
5710,"The company operates worldwide and employs in total approximately 47,000 persons .",neutral
4981,Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .,positive
694,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,positive
3967,$GPS Gap September Comparable Store Sales -4%,negative
234,"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",neutral
4235,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",negative
634,"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",neutral
925,"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",positive
2370,A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive
4095,"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .",positive
3480,Finnish fibre-based materials maker Ahlstrom Corp ( HEL : AHL1V ) said today it decided to close down its spunlace composite production line number 23 at Chirnside plant in the UK by the end of March 2011 .,neutral
1041,Shell to buy BG Group in $69.7 billion takeover,positive
6494,Making Business Decisions Zenfully: Intuition and the Human Touch,positive
4988,CapMan made its initial investment in OneMed in June 2006 .,neutral
5704,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",neutral
6249,How Successful People Handle Toxic People,positive
1390,"The company will publish its financial statement for 2008 on February 25 , 2009 .",neutral
2796,"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",neutral
1066,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive
3278,CompaniesDiageo stays neutral on India boardroom turmoil,neutral
2935,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive
2315,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive
6821,Brazil Gives 3.8M Acres in Amazon Rain Forest to Indigenous People,positive
4191,"Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler .",neutral
6323,California Celebrates Reaching One Million Solar Roofs Milestone; New Focus on ‘One Million Solar Batteries’ Goal,positive
6808,Homeless Man Wants to Buy Skis And Hit the Slopes After Winning Big,positive
2786,A 2001 agreement expired earlier this month .,neutral
6676,Please Join GNN to Help One Family to Keep the Lights on This Christmas,positive
6893,10 Positive Updates on the COVID-19 Outbreaks From Around the World,positive
4079,"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",neutral
6713,Texas and Philly Join Movement to Dim Lights at Night – Making it Safer for Migrating Birds,positive
5995,Financial Reform Bill is Good News for US Consumers,positive
622,Net sales have been eaten by the weak US dollar .,negative
5032,"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",negative
6637,EARTH ALERT ’08: Top Ten Good News for the Earth,positive
178,"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive
3362,"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",neutral
4266,"Tesco set to sell Kipa, Giraffe businesses - Sky News",negative
4887,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",neutral
2697,@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,positive
3804,Finnish M-real 's Kyro mill is starting negotiations to cut staff .,negative
992,Less than ten people will face pension agreements .,neutral
5682,The inventor was issued U.S. Patent No. .,neutral
1496,It will report full-year results on August 22 .,neutral
2870,Operating profit rose to 22.1 mln eur from 19.9 mln .,positive
5558,Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,neutral
6333,"Green Visionaries Unveil Plan for World’s First Carbon-Neutral, Waste-Free, Car-Free City",positive
4140,"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .",neutral
6185,KFC Stands Up For Transgender Woman Who Was Fired,positive
5389,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",positive
827,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive
1245,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative
1214,"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",positive
2602,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive
6103,British Economy Grew Twice as Fast as Expected in Q2,positive
4387,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,negative
6865,Retired Nurse Uses Her Pension to Feed Thousands in Hometown,positive
3277,"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",neutral
2782,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative
5831,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,negative
6023,Livin’ Good Currency Ep. 18: Jen Saxton Translating Every Mom’s Experiences Into Baby Industry Dominance,positive
3920,"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .",neutral
4183,$FB $AAPL $NKE $JWN bearish charts keep getting worse.,negative
5364,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,neutral
3994,"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",neutral
730,$HRL ready to pop! http://stks.co/s0Ny4,positive
5103,The company then said it will focus its resources on clinical research .,neutral
2686,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",negative
1660,Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,neutral
5719,The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .,neutral
1589,"BasWare is headquartered in Espoo , Finland .",neutral
3700,"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",neutral
4288,"The contract comprises a log handling line , a peeling line , and a veneer drying and grading line .",neutral
6037,Canadian Company Will Make Student Loan Payments for New Hires,positive
3513,"Pretax profit totalled EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding period in 2009 .",positive
4622,This release is not an offer of securities for sale into the United States or elsewhere .,neutral
684,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive
3179,Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive
7001,Radio Host Spreads Gospel of Debt-Free Living,positive
232,"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive
3729,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",negative
4930,"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",positive
6721,US Child Obesity Rate Begins Falling in Many States,positive
4410,$KITD Looking for a oversold bounce.,positive
6757,Millionaire Builds 99 Tiny Homes to Cut Homelessness in His Community–He Even Provides Jobs On Site for Them,positive
3955,Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,positive
1607,ouch looks like $tsla shorts getting skinned again,positive
939,`` Nokia is just interested in bring Nokia to the market . '',neutral
2920,The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,neutral
5674,"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",negative
1053,Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .,neutral
901,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",positive
1803,The bridge will be built to the south of the existing bridge spanning the strait .,neutral
2780,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative
1556,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",negative
4333,"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",positive
6792,Amazon Will Soon Be Helping Their Sellers Donate All Unsold and Unwanted Products to Charity,positive
4008,"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries .",neutral
1612,Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,neutral
4908,"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",negative
4115,$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,negative
7054,4th Generation Succeeds at Renewing Family Oyster Business,positive
4340,"In Finland , Alma Media will focus on quality and developing chain operations .",neutral
3810,"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative
960,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",neutral
6588,Is This the End of Alzheimer’s? MEND Protocol of Precision Lifestyle Changes Leads to Compelling Clinical Trials,positive
6322,Peru Passes 10-Year Ban on Genetically Engineered Foods,positive
2398,"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",negative
3906,Primark racks up a happy Christmas after strong sales,positive
3317,$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,positive
1780,The value of the order is about EUR 30mn .,neutral
4935,"In 2007 , Alma Media 's operating profit was about EUR 53mn .",neutral
1789,Under the contract Cramo Sverige and its subcontractor Brinkab AB will provide all scaffolding installations at LKAB 's new pellets plant in Kiruna in northern Sweden .,positive
5059,EBIT excluding non-recurring items was estimated to increase from 2009 .,positive
2838,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",positive
4656,looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,negative
5465,"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",negative
1548,Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral
4038,"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",neutral
4711,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,positive
3456,"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",negative
6013,David Koch Donates $100M for Cancer Research,positive
2050,"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .",neutral
3023,"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",neutral
5967,"Tribute to Businesswoman Anita Roddick, Dead at 64",positive
1588,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive
4948,We hope to increase traffic volumes with the opening of Freight One Scandinavia . '',positive
680,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",neutral
6398,Golf Course for Veterans Inspires Big Donation,positive
56,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral
3015,$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,negative
1183,"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral
3090,An EU law on the issue may be introduced around 2010 .,neutral
476,"ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device .",neutral
2822,"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral
1246,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive
5761,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,neutral
3117,The closing of such transaction took place today .,neutral
758,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",neutral
5394,"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .",neutral
6899,These 6 Cities and This State Will Pay You to Move There,positive
5641,"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive
5878,Organic Farmer Elected to U.S. Senate,positive
1860,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,neutral
6646,Solar Home Industry Shining in Maryland and Other States,positive
5778,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",negative
485,"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral
1366,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",neutral
6259,Miami Team Able to Bring Basketball Fans Back to Arena With the Help of COVID-Sniffing Dogs,positive
1398,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",neutral
2967,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",neutral
3344,The rebuilds are designed to improve the machines ' performance and product quality .,positive
6076,Frugal Carpenter Scrimped and Saved So He Could Give Full College Scholarships to 33 Strangers,positive
4009,"The company has the poser , who wants to impress people with the latest handset .",neutral
3937,"`` Soon after , the collisions started . ''",neutral
3039,Operating profit of the Asian plants grew markedly .,positive
492,Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .,neutral
4431,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,positive
